Frame;Time;HeadPosition;HandDetected;HighConfidence;HandPosition;HandVelocity;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;WristTwist
7065;0;(-0.078, 1.051, -0.187);True;False;(0.000, 0.000, 0.000);(0.0000, 0.0000, 0.0000);False;False;False;0;0;0;0;0;0;0;0;154,479
7075;0,139999986;(-0.069, 1.051, -0.196);True;False;(0.000, 0.000, 0.000);(0.0000, 0.0000, 0.0000);False;False;False;0;0;0;0;0;0;0;0;154,479
7095;0,400000036;(-0.062, 1.043, -0.184);True;False;(0.000, 0.000, 0.000);(0.0000, 0.0000, 0.0000);False;False;False;0;0;0;0;0;0;0;0;155,23
7105;0,540000021;(-0.063, 1.036, -0.170);True;False;(0.000, 0.000, 0.000);(0.0000, 0.0000, 0.0000);False;False;False;0;0;0;0;0;0;0;0;155,866
7115;0,679999888;(-0.062, 1.032, -0.161);True;True;(-0.347, 0.819, -0.061);(0.7106, 0.8612, 0.5196);False;False;False;0;0;0;0;0;0;0;0;157,743
7125;0,819999754;(-0.065, 1.022, -0.132);True;True;(-0.283, 0.856, -0.043);(-0.0224, -0.0581, 0.0724);False;False;False;0;0;0;0;0;0;0;0;166,132
7130;0,879999697;(-0.069, 1.012, -0.109);True;True;(-0.287, 0.850, -0.045);(-0.0409, -0.1309, -0.0937);False;False;False;0;0;0;0;0;0;0;0;184,696
7135;0,959999621;(-0.072, 1.006, -0.086);True;True;(-0.290, 0.841, -0.050);(-0.0200, -0.1109, -0.0731);False;False;False;0;0;0;0;0;0;0;0;185,432
7140;1,019999623;(-0.074, 1.003, -0.068);True;True;(-0.293, 0.832, -0.055);(-0.0687, -0.1591, -0.0703);False;False;False;0;0;0;0;0;0;0;0;194,76
7145;1,099999547;(-0.076, 1.002, -0.055);True;True;(-0.295, 0.824, -0.057);(-0.0064, -0.0655, -0.0159);False;False;False;0;0;0;0;0;0;0;0;195,997
7150;1,15999949;(-0.077, 1.002, -0.048);True;True;(-0.294, 0.817, -0.050);(0.0348, -0.1359, 0.2102);False;False;False;0;0;0;0;0;0;0;0;196,639
7155;1,239999413;(-0.077, 1.003, -0.047);True;True;(-0.291, 0.808, -0.021);(0.2837, -0.0377, 0.3223);False;False;False;0;0;0;0;0;0;0;0;190,553
7160;1,319999337;(-0.075, 1.004, -0.052);True;True;(-0.249, 0.780, 0.025);(0.4838, -0.3319, 0.4254);False;False;False;0;0;0;0;0;0;0;0;179,089
7165;1,37999928;(-0.071, 1.007, -0.060);True;True;(-0.240, 0.739, 0.066);(0.0671, -0.8245, 0.7959);False;False;False;0;0;0;0;0;0;0;0;173,241
7175;1,519999146;(-0.059, 1.015, -0.085);True;True;(-0.220, 0.680, 0.087);(0.3517, -0.2145, -0.1394);False;False;False;0;0;0;0;0;0;0;0;151,242
7185;1,659999013;(-0.043, 1.027, -0.117);True;True;(-0.199, 0.669, 0.083);(0.0897, -0.3284, 0.1043);False;False;False;0;0;0;0;0;0;0;0;155,573
7195;1,799998879;(-0.026, 1.040, -0.148);True;True;(-0.196, 0.662, 0.100);(0.0430, 0.1109, 0.1283);False;False;False;0;0;0;0;0;0;0;0;177,929
7205;1,939998746;(-0.006, 1.061, -0.169);True;True;(-0.154, 0.751, 0.101);(0.4603, 0.7680, -0.0619);False;True;False;1;1;1;0,8917473;0;0;0;0;189,749
7215;2,079998732;(0.011, 1.072, -0.188);True;True;(-0.062, 0.825, 0.098);(0.5334, 0.1788, -0.0261);False;True;False;1;1;1;0,8771845;0;0;0;0;178,988
7225;2,219998598;(0.021, 1.072, -0.196);True;True;(0.009, 0.779, 0.137);(0.1911, -0.5170, 0.2683);False;True;False;1;1;1;1;0;0;0;0;165,341
7235;2,359998465;(0.024, 1.063, -0.191);True;True;(0.009, 0.733, 0.150);(-0.1295, -0.1328, 0.0553);False;False;False;0;0;0;0;0;0;0;0;162,238
7240;2,419998407;(0.021, 1.056, -0.185);True;True;(0.000, 0.731, 0.151);(-0.1728, 0.0679, -0.0347);False;False;False;0;0;0;0;0;0;0;0;165,283
7245;2,499998331;(0.017, 1.051, -0.179);True;True;(-0.013, 0.747, 0.149);(-0.1772, 0.2234, -0.0025);False;False;False;0;0;0;0;0;0;0;0;168,177
7250;2,559998274;(0.014, 1.047, -0.172);True;True;(-0.057, 0.798, 0.142);(-1.1057, 1.2582, -0.3517);False;False;False;0;0;0;0;0;0;0;0;175,793
7255;2,639998198;(0.009, 1.043, -0.167);True;True;(-0.122, 0.838, 0.123);(-0.6759, 0.2081, -0.1430);False;False;False;0;0;0;0;0;0;0;0;185,948
7260;2,69999814;(0.002, 1.041, -0.161);True;True;(-0.188, 0.850, 0.108);(-1.3426, 0.1482, -0.3667);False;False;False;0;0;0;0;0;0;0;0;197,571
7270;2,839998007;(-0.010, 1.038, -0.155);True;True;(-0.276, 0.804, 0.092);(-0.2983, -0.7828, -0.0075);False;False;False;0;0;0;0;0;0;0;0;201,441
7280;2,979997873;(-0.016, 1.037, -0.153);True;True;(-0.273, 0.709, 0.106);(-0.0190, -1.0920, 0.3017);False;False;False;0;0;0;0;0;0;0;0;187,658
7290;3,11999774;(-0.014, 1.037, -0.152);True;True;(-0.259, 0.666, 0.109);(0.1471, -0.0704, 0.0119);False;False;False;0;0;0;0;0;0;0;0;158,057
7300;3,259997606;(-0.006, 1.036, -0.150);True;True;(-0.250, 0.665, 0.134);(0.0955, 0.2019, -0.0353);False;False;False;0;0;0;0;0;0;0;0;144,565
7310;3,399997473;(0.004, 1.035, -0.148);True;True;(-0.165, 0.757, 0.136);(0.4407, 0.3516, 0.1661);False;True;False;1;1;1;1;0;0;0;0;148,684
7320;3,539997339;(0.013, 1.035, -0.151);True;True;(-0.038, 0.787, 0.145);(0.4957, -0.2792, 0.3764);False;True;False;1;1;1;1;0;0;0;0;166,492
7330;3,679997206;(0.022, 1.035, -0.155);True;True;(0.011, 0.728, 0.185);(-0.0457, -0.0237, -0.0975);False;False;False;0;0;0;0;0;0;0;0;179,35
7335;3,739997149;(0.026, 1.035, -0.155);True;True;(0.007, 0.731, 0.177);(-0.0862, 0.0564, -0.1073);False;False;False;0;0;0;0;0;0;0;0;188,778
7340;3,819997072;(0.028, 1.034, -0.156);True;True;(0.000, 0.740, 0.171);(-0.0922, 0.1279, -0.0881);False;False;False;0;0;0;0;0;0;0;0;189,006
7345;3,879997015;(0.029, 1.034, -0.156);True;True;(-0.015, 0.760, 0.169);(-0.4003, 0.5473, -0.0857);False;False;False;0;0;0;0;0;0;0;0;178,762
7350;3,959996939;(0.028, 1.034, -0.156);True;True;(-0.054, 0.799, 0.152);(-0.4215, 0.2289, -0.1219);False;False;False;0;0;0;0;0;0;0;0;153,716
7355;4,01999712;(0.026, 1.034, -0.156);True;True;(-0.097, 0.830, 0.132);(-0.8582, 0.6749, -0.5547);False;False;False;0;0;0;0;0;0;0;0;136,391
7360;4,099997044;(0.022, 1.034, -0.157);True;True;(-0.132, 0.853, 0.107);(-0.3033, 0.1530, -0.0411);False;False;False;0;0;0;0;0;0;0;0;124,65
7365;4,159996986;(0.018, 1.034, -0.158);True;True;(-0.158, 0.858, 0.096);(-0.6652, -0.0574, -0.1210);False;False;False;0;0;0;0;0;0;0;0;170,349
7375;4,299996853;(0.009, 1.034, -0.160);True;True;(-0.209, 0.846, 0.038);(-0.2992, -0.3008, -0.7642);False;False;False;0;0;0;0;0;0;0;0;208,7
7385;4,439996719;(0.002, 1.035, -0.162);True;True;(-0.222, 0.827, 0.019);(-0.1398, -0.1953, -0.0080);False;False;False;0;0;0;0;0;0;0;0;212,418
7395;4,579996586;(-0.003, 1.035, -0.160);True;True;(-0.227, 0.819, 0.015);(-0.0147, -0.0227, -0.0177);False;False;False;0;0;0;0;0;0;0;0;207,452
7405;4,719996452;(-0.007, 1.034, -0.158);True;True;(-0.227, 0.810, 0.021);(0.0623, -0.1082, 0.1078);False;False;False;0;0;0;0;0;0;0;0;193,313
7415;4,859996319;(-0.009, 1.034, -0.155);True;True;(-0.186, 0.711, 0.109);(0.3924, -0.5496, 0.5172);False;False;False;0;0;0;0;0;0;0;0;182,216
7425;4,999996185;(-0.007, 1.032, -0.148);True;True;(-0.149, 0.652, 0.133);(0.1436, -0.0705, -0.0220);False;False;False;0;0;0;0;0;0;0;0;163,869
7430;5,059996128;(-0.005, 1.031, -0.144);True;True;(-0.134, 0.650, 0.124);(0.2561, -0.0033, -0.2054);False;False;False;0;0;0;0;0;0;0;0;146,169
7435;5,139996052;(-0.003, 1.031, -0.139);True;True;(-0.131, 0.651, 0.122);(0.0346, 0.0170, 0.0122);False;False;False;0;0;0;0;0;0;0;0;131,131
7440;5,199995995;(-0.001, 1.030, -0.135);True;True;(-0.127, 0.674, 0.123);(0.1386, 0.5296, -0.0200);False;False;False;0;0;0;0;0;0;0;0;124,856
7445;5,279995918;(0.001, 1.029, -0.133);True;True;(-0.109, 0.706, 0.132);(0.2271, 0.2894, 0.1197);False;True;False;1;1;1;0,632;0;0;0;0;120,424
7450;5,339995861;(0.002, 1.029, -0.133);True;True;(-0.071, 0.741, 0.141);(0.8105, 0.5841, 0.2071);False;True;False;1;1;1;0,8206603;0;0;0;0;146,341
7455;5,419995785;(0.004, 1.029, -0.133);True;True;(-0.038, 0.746, 0.146);(0.2413, -0.0875, 0.1279);False;True;False;1;1;1;1;0;0;0;0;175,99
7460;5,479995728;(0.005, 1.029, -0.133);True;True;(-0.020, 0.724, 0.166);(0.1525, -0.3815, 0.3460);False;True;False;1;1;0,9989359;0,6507568;0;0;0;0;190,799
7470;5,619995594;(0.002, 1.028, -0.130);True;True;(-0.027, 0.712, 0.156);(-0.2155, 0.1545, -0.2469);False;False;False;0;0;0;0;0;0;0;0;177,013
7480;5,759995461;(-0.007, 1.029, -0.129);True;True;(-0.127, 0.734, 0.135);(-1.5513, -0.0608, -0.0543);False;False;False;0;0;0;0;0;0;0;0;170,323
7490;5,899995327;(-0.017, 1.030, -0.129);True;True;(-0.221, 0.728, 0.118);(-0.1871, -0.2584, -0.0139);False;False;False;0;0;0;0;0;0;0;0;171,956
7500;6,039995193;(-0.026, 1.031, -0.130);True;True;(-0.246, 0.660, 0.126);(0.0937, -0.2048, 0.0065);False;False;False;0;0;0;0;0;0;0;0;187,318
7510;6,17999506;(-0.029, 1.032, -0.129);True;True;(-0.243, 0.624, 0.157);(0.1113, 0.1570, 0.0713);False;False;False;0;0;0;0;0;0;0;0;200,609
7520;6,319994926;(-0.023, 1.033, -0.129);True;True;(-0.175, 0.694, 0.151);(0.6612, 0.6361, -0.1678);False;True;False;1;1;1;1;0;0;0;0;203,096
7525;6,379994869;(-0.019, 1.033, -0.132);True;True;(-0.105, 0.756, 0.132);(1.3698, 1.1248, -0.4572);False;True;False;1;1;1;1;0;0;0;0;204,864
7530;6,459994793;(-0.015, 1.033, -0.135);True;True;(-0.050, 0.766, 0.126);(0.4971, 0.0100, -0.0711);False;True;False;1;1;1;1;0;0;0;0;204,459
7535;6,519994736;(-0.011, 1.034, -0.139);True;True;(0.003, 0.742, 0.137);(1.0206, -0.5193, 0.1949);False;True;False;1;1;1;1;0;0;0;0;181,548
7540;6,599994659;(-0.006, 1.034, -0.141);True;True;(0.025, 0.710, 0.147);(-0.0092, -0.3069, 0.0521);False;True;False;0,9044785;0,7883452;0,6497717;0,4199679;0;0;0;0;133,636
7545;6,659994602;(-0.002, 1.034, -0.142);True;True;(0.025, 0.694, 0.142);(-0.0033, -0.2095, -0.1422);False;False;False;0;0;0;0;0;0;0;0;101,249
7555;6,799994469;(0.002, 1.034, -0.144);True;True;(0.013, 0.716, 0.112);(-0.2077, 0.3402, -0.2469);False;False;False;0;0;0;0;0;0;0;0;127,272
7565;6,939994335;(-0.003, 1.034, -0.146);True;True;(-0.018, 0.738, 0.090);(-0.3373, 0.0860, -0.2396);False;False;False;0;0;0;0;0;0;0;0;152,676
7575;7,079994202;(-0.014, 1.034, -0.149);True;True;(-0.052, 0.751, 0.051);(-0.1389, -0.0203, -0.1299);False;False;False;0;0;0;0;0;0;0;0;152,693
7585;7,219994068;(-0.025, 1.034, -0.152);True;True;(-0.069, 0.744, 0.030);(-0.0331, -0.0087, -0.1175);False;False;False;0;0;0;0;0;0;0;0;147,055
7595;7,359993935;(-0.033, 1.034, -0.154);True;True;(-0.070, 0.742, 0.013);(0.0066, -0.0254, -0.0708);False;False;False;0;0;0;0;0;0;0;0;144,155
7605;7,499993801;(-0.037, 1.034, -0.155);True;True;(-0.068, 0.738, -0.002);(-0.0235, -0.0352, -0.0801);False;False;False;0;0;0;0;0;0;0;0;150,296
7610;7,559993744;(-0.038, 1.033, -0.154);True;True;(-0.072, 0.736, -0.006);(-0.1286, -0.0364, -0.0232);False;False;False;0;0;0;0;0;0;0;0;153,452
7615;7,639993668;(-0.038, 1.033, -0.153);True;True;(-0.085, 0.734, -0.002);(-0.1666, -0.0122, 0.0614);False;False;False;0;0;0;0;0;0;0;0;161,46
